ÓÒ¹ÉÖ±¼¡	ÓÒ¹É¶þÍ·¼¡	×óëÖÇ°¼¡	ÓÒëÖÇ°¼¡	×óëè³¦¼¡	×ó¹ÉÖ±¼¡	×ó¹É¶þ	ÓÒëè³¦¼¡	
-17.3	-9.9	-56.7	-22.2	-34.5	-39.4	14.7	-19.8	
-9.9	-19.8	-49.3	-27.1	-37.0	-29.6	17.1	-5.0	
-14.8	-29.6	-5.0	-17.3	-24.7	-24.7	17.1	49.1	
-5.0	-17.3	4.8	-19.8	22.1	-0.1	19.6	14.7	
-5.0	-22.2	-7.5	-14.8	-19.8	-0.1	12.2	-29.6	
-5.0	-29.6	12.2	-34.5	-54.2	-7.5	24.5	-17.3	
-0.1	-24.7	29.4	-9.9	2.4	7.3	34.4	27.0	
-9.9	-19.8	22.1	-0.1	51.6	4.8	46.7	12.2	
-19.8	-27.1	22.1	-7.5	24.5	9.8	34.4	19.6	
-29.6	-24.7	27.0	-19.8	19.6	12.2	14.7	12.2	
-24.7	-29.6	27.0	-29.6	-0.1	2.4	-7.5	4.8	
-34.5	-12.4	4.8	-27.1	-14.8	-17.3	-14.8	-17.3	
-34.5	-2.5	-2.5	-19.8	-32.1	-19.8	-34.5	-46.8	
-27.1	-12.4	-17.3	-27.1	-37.0	-39.4	-27.1	-34.5	
-29.6	-17.3	-9.9	-22.2	-46.8	-51.7	-27.1	-34.5	
-39.4	-17.3	7.3	-27.1	-27.1	-46.8	-32.1	-22.2	
-29.6	-19.8	-17.3	-27.1	-39.4	-46.8	-32.1	-24.7	
-19.8	-9.9	-34.5	-37.0	-32.1	-51.7	-64.0	-2.5	
-7.5	-9.9	-100.9	-54.2	-14.8	-24.7	-49.3	17.1	
-9.9	-5.0	-123.1	-22.2	-19.8	-19.8	-39.4	-27.1	
-9.9	-14.8	-64.0	-24.7	-14.8	-22.2	-37.0	-39.4	
-5.0	-14.8	-34.5	-17.3	-0.1	-34.5	-19.8	-19.8	
4.8	-22.2	-32.1	-17.3	4.8	-32.1	-7.5	-24.7	
2.4	-24.7	-5.0	-5.0	14.7	-5.0	2.4	-9.9	
-0.1	-19.8	17.1	9.8	14.7	4.8	7.3	-12.4	
-5.0	-24.7	14.7	27.0	9.8	-2.5	14.7	-14.8	
-5.0	-12.4	31.9	-9.9	27.0	9.8	29.4	-0.1	
-9.9	-17.3	34.4	-37.0	27.0	12.2	29.4	22.1	
-12.4	-19.8	24.5	-32.1	-0.1	17.1	27.0	39.3	
-19.8	-24.7	29.4	-24.7	-7.5	17.1	9.8	34.4	
-27.1	-19.8	14.7	-17.3	4.8	17.1	-9.9	-44.4	
-22.2	-22.2	14.7	-19.8	-14.8	12.2	-5.0	-83.7	
-24.7	-22.2	2.4	-29.6	-19.8	9.8	-17.3	-76.3	
-34.5	-19.8	-17.3	-39.4	-19.8	-9.9	-27.1	-22.2	
-32.1	-7.5	-54.2	-46.8	-49.3	-7.5	-39.4	12.2	
-39.4	4.8	-61.6	-46.8	-76.3	-2.5	-41.9	12.2	
-24.7	7.3	-44.4	-51.7	-103.4	-7.5	-49.3	-0.1	
-24.7	-2.5	-51.7	-46.8	-76.3	-19.8	-56.7	-17.3	
-19.8	-9.9	-71.4	-49.3	-32.1	-17.3	-44.4	-19.8	
-7.5	-24.7	-56.7	-32.1	9.8	-22.2	-29.6	-44.4	
-9.9	-34.5	-51.7	-22.2	14.7	-32.1	-14.8	-32.1	
2.4	-32.1	-46.8	-24.7	19.6	-24.7	-5.0	-37.0	
-7.5	-34.5	-34.5	-24.7	34.4	-9.9	-0.1	-24.7	
4.8	-22.2	-0.1	-7.5	31.9	-0.1	14.7	-2.5	
-7.5	-19.8	34.4	-17.3	4.8	7.3	17.1	9.8	
2.4	-5.0	29.4	-9.9	-17.3	9.8	27.0	-2.5	
-7.5	-0.1	17.1	-22.2	-9.9	12.2	27.0	-2.5	
-9.9	-7.5	-17.3	-34.5	24.5	19.6	19.6	-7.5	
-12.4	-19.8	12.2	-22.2	36.8	14.7	22.1	4.8	
-29.6	-24.7	59.0	-12.4	9.8	7.3	7.3	7.3	
-29.6	-29.6	24.5	-19.8	-5.0	9.8	-5.0	7.3	
-37.0	-37.0	12.2	-17.3	-22.2	-0.1	-9.9	-7.5	
-17.3	-37.0	9.8	-24.7	-19.8	2.4	-14.8	7.3	
-32.1	-41.9	-5.0	-22.2	-29.6	-9.9	-17.3	-2.5	
-46.8	-29.6	-61.6	-37.0	-34.5	-17.3	-37.0	4.8	
-41.9	-2.5	-59.1	-27.1	2.4	-34.5	-37.0	-19.8	
-39.4	17.1	-54.2	2.4	19.6	-37.0	-49.3	-22.2	
-27.1	14.7	-44.4	-14.8	-17.3	-34.5	-46.8	-7.5	
-17.3	4.8	-61.6	-29.6	-81.3	-37.0	-49.3	-51.7	
-17.3	4.8	-51.7	-14.8	-118.2	-59.1	-41.9	-19.8	
-22.2	4.8	-39.4	-9.9	-64.0	-37.0	-19.8	-46.8	
-0.1	-5.0	-49.3	-44.4	-14.8	-37.0	-7.5	-66.5	
-5.0	-12.4	-19.8	-44.4	34.4	-34.5	2.4	-14.8	
2.4	-19.8	-5.0	-34.5	59.0	-24.7	19.6	24.5	
-9.9	-24.7	29.4	-19.8	36.8	-19.8	24.5	17.1	
2.4	-14.8	39.3	-12.4	-2.5	-12.4	7.3	4.8	
-2.5	-14.8	29.4	-24.7	-0.1	-9.9	29.4	-0.1	
-5.0	-19.8	27.0	-12.4	29.4	12.2	19.6	-9.9	
-14.8	-29.6	22.1	-5.0	41.7	17.1	17.1	-29.6	
-27.1	-19.8	19.6	-2.5	29.4	9.8	12.2	-56.7	
-29.6	-14.8	24.5	12.2	29.4	9.8	4.8	-41.9	
-27.1	-14.8	2.4	9.8	12.2	-12.4	2.4	-5.0	
-27.1	-12.4	-12.4	-9.9	-46.8	-17.3	-7.5	-2.5	
-29.6	-14.8	-24.7	-9.9	-54.2	-27.1	-19.8	-24.7	
-41.9	-24.7	-32.1	-5.0	-54.2	-24.7	-32.1	-37.0	
-39.4	-14.8	-54.2	-19.8	-56.7	-32.1	-32.1	-17.3	
-29.6	-27.1	-61.6	-51.7	-51.7	-27.1	-41.9	-27.1	
-29.6	-17.3	-46.8	-41.9	-41.9	-29.6	-54.2	-41.9	
-22.2	-12.4	-39.4	-19.8	-39.4	-46.8	-39.4	-59.1	
-14.8	-12.4	-54.2	-19.8	-64.0	-49.3	-37.0	-61.6	
-19.8	-14.8	-37.0	-19.8	-61.6	-41.9	-29.6	-41.9	
-17.3	-19.8	-29.6	-22.2	-24.7	-24.7	-17.3	17.1	
-7.5	-24.7	-29.6	-19.8	-0.1	-27.1	-7.5	61.4	
-7.5	-24.7	-19.8	-27.1	78.6	-27.1	9.8	41.7	
-9.9	-22.2	-0.1	-27.1	98.3	-7.5	17.1	-56.7	
-17.3	-32.1	4.8	-24.7	41.7	7.3	19.6	-59.1	
-19.8	-24.7	31.9	-32.1	36.8	-7.5	22.1	9.8	
-29.6	-32.1	56.5	-24.7	19.6	-0.1	29.4	27.0	
-37.0	-34.5	61.4	-9.9	19.6	14.7	17.1	17.1	
-37.0	-24.7	41.7	2.4	2.4	-2.5	17.1	22.1	
-41.9	-17.3	17.1	-7.5	-12.4	-0.1	-5.0	31.9	
-27.1	-27.1	-17.3	-12.4	-19.8	-0.1	-5.0	12.2	
-37.0	-17.3	-32.1	-9.9	-22.2	-5.0	-22.2	-22.2	
-34.5	-22.2	-24.7	-5.0	-41.9	-14.8	-22.2	-54.2	
-34.5	-9.9	-37.0	-32.1	-27.1	-22.2	-29.6	-69.0	
