ÓÒ¹ÉÖ±¼¡	ÓÒ¹É¶þÍ·¼¡	×óëÖÇ°¼¡	ÓÒëÖÇ°¼¡	×óëè³¦¼¡	×ó¹ÉÖ±¼¡	×ó¹É¶þ	ÓÒëè³¦¼¡	
-2.5	-19.8	9.8	-61.6	-27.1	-12.4	4.8	12.2	
-2.5	-24.7	31.9	-108.3	-29.6	-7.5	-5.0	108.2	
2.4	-14.8	44.2	-66.5	2.4	7.3	12.2	100.8	
-2.5	-24.7	61.4	-46.8	14.7	7.3	9.8	4.8	
-17.3	-17.3	78.6	-103.4	7.3	22.1	4.8	9.8	
-22.2	-22.2	81.1	-61.6	7.3	27.0	7.3	51.6	
-22.2	-14.8	46.7	-41.9	-9.9	22.1	7.3	51.6	
-17.3	-19.8	-24.7	-17.3	-12.4	12.2	-14.8	12.2	
-9.9	-17.3	-51.7	-14.8	14.7	7.3	-7.5	4.8	
-22.2	-32.1	-24.7	-29.6	9.8	-0.1	-9.9	76.2	
-29.6	-37.0	-44.4	-22.2	-5.0	-17.3	-14.8	29.4	
-12.4	-41.9	-59.1	-22.2	-19.8	-14.8	-22.2	-17.3	
-37.0	-51.7	-76.3	-17.3	-12.4	-32.1	-24.7	-17.3	
-22.2	-39.4	-66.5	-32.1	-17.3	-34.5	-24.7	22.1	
-19.8	-37.0	-88.6	-34.5	-12.4	-37.0	-19.8	29.4	
-19.8	-44.4	-86.2	-32.1	-2.5	-34.5	-27.1	12.2	
-17.3	24.5	-83.7	-14.8	4.8	-27.1	-17.3	-7.5	
-19.8	-2.5	-59.1	-14.8	-0.1	-34.5	-5.0	7.3	
-5.0	-24.7	-22.2	-12.4	9.8	-27.1	2.4	-9.9	
-7.5	-22.2	9.8	-5.0	4.8	-5.0	4.8	-17.3	
-5.0	-12.4	34.4	-17.3	17.1	2.4	4.8	-59.1	
-2.5	-17.3	41.7	-7.5	7.3	2.4	7.3	-29.6	
-2.5	-32.1	39.3	-9.9	-17.3	9.8	17.1	-29.6	
-9.9	-7.5	41.7	-14.8	-7.5	7.3	19.6	-34.5	
-22.2	-12.4	63.9	-19.8	9.8	27.0	7.3	-19.8	
-14.8	-17.3	59.0	-7.5	-9.9	22.1	2.4	-34.5	
-27.1	-32.1	46.7	-0.1	-5.0	9.8	7.3	-37.0	
-34.5	-22.2	22.1	2.4	4.8	12.2	-0.1	-32.1	
-22.2	-24.7	-14.8	-17.3	4.8	7.3	-17.3	-29.6	
-17.3	-24.7	-39.4	2.4	-9.9	-0.1	-19.8	-39.4	
-29.6	-24.7	-51.7	-0.1	-19.8	-9.9	-39.4	-27.1	
-27.1	-7.5	-64.0	-22.2	-9.9	-19.8	-19.8	-44.4	
-24.7	-12.4	-71.4	-37.0	-5.0	-24.7	-29.6	-34.5	
-22.2	-7.5	-66.5	-41.9	-19.8	-24.7	-34.5	4.8	
-12.4	-12.4	-71.4	-12.4	-7.5	-34.5	-37.0	2.4	
-27.1	-22.2	-69.0	-32.1	17.1	-32.1	-22.2	-24.7	
-7.5	-14.8	-64.0	-27.1	-0.1	-34.5	-17.3	-22.2	
-17.3	-27.1	-49.3	-14.8	-17.3	-39.4	-14.8	-14.8	
-19.8	-19.8	-29.6	-27.1	-39.4	-24.7	-12.4	-22.2	
-14.8	-17.3	-24.7	-22.2	-17.3	-22.2	-17.3	-14.8	
-5.0	-2.5	-7.5	-9.9	-34.5	-2.5	2.4	-19.8	
-14.8	-27.1	27.0	-12.4	-9.9	-12.4	4.8	-17.3	
-5.0	-9.9	46.7	-5.0	2.4	-2.5	12.2	-27.1	
-14.8	-14.8	31.9	-12.4	19.6	-2.5	12.2	-32.1	
-32.1	-5.0	54.0	-19.8	-5.0	12.2	9.8	-29.6	
-29.6	-19.8	44.2	-24.7	-14.8	4.8	12.2	-9.9	
-32.1	-12.4	44.2	-29.6	19.6	9.8	-2.5	-2.5	
-24.7	-17.3	14.7	-14.8	2.4	7.3	-2.5	-2.5	
-39.4	-14.8	-19.8	-34.5	-7.5	-0.1	-9.9	-2.5	
-34.5	-24.7	-22.2	-24.7	-34.5	-17.3	-19.8	-7.5	
-32.1	-19.8	-49.3	-14.8	-5.0	-9.9	-19.8	-14.8	
-32.1	-22.2	-59.1	-9.9	-2.5	-24.7	-27.1	-44.4	
-29.6	-27.1	-66.5	-17.3	-14.8	-39.4	-27.1	-51.7	
-24.7	-24.7	-59.1	-19.8	-17.3	-39.4	-37.0	-46.8	
